clean_text,label_encoded
the day before the university results came out i was both excited and scared if i failed i did not know what i would do as i did not want to work,2
i consciously tried not to project these onto him faking an upbeat she ll be apples and so much fun demeanour while feeling a volcano of nervous energy brewing in the pit of my stomach erupting the moment he clung to the swimming instructors neck,3
i wish i could say that i was happy about going back to school and while there are a few small details that will make my overjoyous no matekunas having lunch with rachel auditions for bye bye birdie coming no matekunas having a bunch of new classes no matekunas i am feeling a little bit resigned,4
i finally feel excited to continue to try to lose some weight,2
today was fun i lt meeting boardies the acoustic set was just soo phenomenal,4
i thought breaking up with my best friend of years would make me bitter and feel hateful towards her,5
i leave the main light on and soon feel my mind aching and struggling to relate all of its contents over the white empty space before me,1
im feeling quite pleased with myself think its some of my best stuff to date that im making now and i cant wait to get feedback,8
i feel in my heart that her husband is waiting for her and will meet her in heaven and she will be joyful when they reunite,3
i was feeling throughly disillusioned with love i am currently still a hopeless hapless romantic img src http s,6
i got comfortable i loved it since then i ve gone back to theatre after over twenty years now i feel it s something i can do and enjoy and not be terrified,6
i feel joyful light and glee,3
i feel content and at peace,4
but in my case  the fact matches the theory  mike is humorous  energetic  always as fresh as a daisy  but probably too ambitious  it frightens me,9
gmorning hermana thank you for your testimonial it is wonderful posted already,6
you dont like secrets nucky how are you on surprises last week he bedded the missus and now emily has polio boardwalkempire,10
i realized that id been neglecting the people and interests i knew i enjoyed all for the sake of bowing to peer pressure and following my friends into something that made me feel unwelcome,4
even more sad i remember waking up extra early during high school just to listen to his show,9
