clean_text,label_encoded
i make this blog post i am feeling the melancholy running through my veins,9
lunch sucked ran out of time didnt get anything done,9
i know she feels helpless but that kiss that cuddle the hug every morning and the love you every night,6
i love to dance but often feel inhibited by my own body unsure what i am capable of hyper concerned about other people watching me and having opinions on my style or just feeling awkward as if i have no idea what i am supposed to do here,9
ive got some key tips to help you focus on avoiding feeling like a neurotic imposter and moving yourself to being a deserving confident individual how much better does that sound,1
i guess life is all about feeling discontent with people and situations you have absolutley no control over,4
i feel posting to r funny,3
i feel i wholeheartedly feel comfortable in,8
id been feeling very discouraged,0
im in fat burning stage is that when im not around a food source at my meal times i can go much longer without food without having the empty stomach shakes the feeling of my stomach growling empty and unhappy and without the energy crashes or that a href http www,1
im sure the turns are fun but im feeling greedy now that the end of ski season is starting to creep into sight,3
i feel like im too eager,2
im not proud but os x excels at videophoto editing where the pc lags so much behind,9
i hate being discombobulated and feeling useless,5
i love lucy coined term meaning not really sick but just feeling lousy,6
i feel hated since observers say people on the team really hate me i said that prayer today,5
i do feel a bit apprehensive with starting it as its technically my first although its slightly imperfect so im going to try not to worry about messing it up,9
i finish reading a novel i can feel anything from distressed to elated and i certainly need a few minutes for my thoughts please dont ask me if i spotted some ai words in there,8
ive tried to sign in back my myspace account for many times unfortunately it is not working,9
i think feeling hated by people is an adrenaline rush for me,5
i still love that feeling of just going surfing and i am keen to win a world title but i ll just take it as it comes said the father of three who adores his kids and pays huge compliments to his supportive wife monica,6
i feel i should be doing more to help and support them even though theres not much that i can actually do other than lend a sympathetic ear and give words of encouragement,0
i have always done as i really hate the feeling that someone doesnt want to be around me or is irritated by something ive done,5
i did that and posted a video on youtube there probably would be three outcomes either everyone would laugh and i feel ashamed of the video or have tons of views on my video and be famous or go about unnoticed by people,7
time for a bro rt  toilet leak sorted this weekend,4
i was younger or really up until this point in my life i never really understood what it was like to feel unhappy,4
i get excited to go to wal mart maybe dollar tree if im feeling dangerous,2
ok i mean this with no disrespect fuck that,1
getting ready to lay out by the pool,4
waiting out a car nap because sleep is just that rare this week wtf,10
so sad that schools have to close,9
i feel this way because i was sexually abused and i felt like i was his pride and joy only to find out later in life that i was one of dozens scores of boys who were told the same thing,4
i feel like i have been neglecting all my lovely readers the last couple of weeks,6
i know you feel disheartened when i am not excited about being with you but what can i say,2
i don t want to feel like it feels like we re not supporting it,7
i just want you to know no one wants to feel like they are nothing no one wants to feel unloved no one wants to feel pain every single day so f k off,6
i can see and feel radiant sunlight warming my body sending comfort and solace deep into my heart,8
the voice of nemo turns  today thanks npr,4
looks like a bed day for ol tomorrow,4
dont be worried im safe and sound lt you,4
i am grateful for being able to feel the gentle breeze of a warm afternoon and the love of a sweet embrace,6
i understand some people are more comfortable sharing in that way because they don t feel pressured to make eye contact sometimes i found myself later in the week wondering which story went with what person,8
i feel especially strongly about this since i have hated my teeth forever i,5
i hate seeing you sick and i feel so bad you are sick especially since you caught the cold from me i figured this would happen at some point i mean we do spend every day all day long together,5
